dish_id,name_zh
1,現打果汁
4,柳橙汁
5,柳橙氣泡飲
6,可口可樂
7,蘋果西打
8,特級紅烏龍
448,紅燒鮑魚
10,茉莉綠
11,老欉紅
12,紅烏龍
13,高山青
14,法國依雲天然礦泉水
15,菊花普洱
16,花草茶
17,檸檬氣泡飲
18,聖佩洛氣泡水
19,桂花冬瓜檸檬
20,玫瑰蜜桃茶
21,白蓮霧茶
22,東方美人茶
23,特製冷泡茶
24,特級炭焙烏龍
25,金萱
26,鮮搾柳丁汁
27,澳式精釀有機康普茶檸檬萊姆薄荷
28,澳式精釀有機康普茶檸檬覆盆莓
449,紅燒大排翅
30,台灣芒果汁
31,玫瑰水潤膠原飲
32,鮮乳坊-冬瓜奶
450,雞仔豬肚鱉
3,酸梅氣泡飲
2,桂花酸梅飲
948,果香黃金肋排
949,古味龍膽石斑
451,砂鍋鴨
452,砂鍋魚頭
453,砂鍋鮭魚頭
454,花菇黃金雞湯
455,菜蟳白菜鍋
456,薑絲花鰷湯
457,枸杞花鰷湯
458,魷魚螺肉蒜
459,鮑魚螺肉蒜
460,鹹蛋四寶湯
461,波士頓龍蝦
462,花菇排翅燉雞湯
463,2020年炒飯王香茅雞腿炒飯盤
464,午仔魚米粉湯
465,烏魚子腱佐蒜味椒鹽
466,麻油蒜苗烏魚膘
531,傳統紅燒魚翅
532,香菇清燉腳筋
533,蠔油樹子石斑
534,蔥爆彩椒蟳肉
535,五味九孔雙拼
536,花菇排翅燉雞
537,北寄貝豬肚湯
538,五柳枝鮮海魚
539,蒜蓉清蒸大蝦
540,招牌手路六品
541,蔥油清蒸波龍
542,上湯一品海參
543,鮑魚干貝豬肚
544,蠔油樹子龍膽
545,彩椒松阪鮮菇
546,迎賓烏子參品
547,清蒸深海明蝦
548,紅燒頂級鮑魚
134,炭烤野生烏魚子
135,三色拼盤
136,手工粉腸
137,經典蟳丸
138,招牌蝦棗
139,豬肝捲
140,煙燻鴨
141,白斬雞
142,招牌紅蟳米糕
143,爆焱生炒鱔魚
144,生炒鱔魚意麵
145,避風塘金沙肋排
146,筍乾老滷腿庫
147,樹子清蒸石斑
148,五柳枝鮮魚
149,花膠手剝蝦羹
150,鮑魚四寶豬肚
151,四寶清燉大翅
152,花膠鮑魚燉雞
153,阿霞招牌甜湯
154,造型流沙包
155,2025桌菜7888
156,2025桌菜12888
157,2025桌菜20888
159,烏金招牌拼盤(78)
160,鮮蝦雙拼(78)
161,花膠手剝蝦羹(78)
162,招牌紅蟳米糕(78)
163,鮑魚四寶豬肚(78)
164,筍乾老滷腿庫(78)
165,爆焱生炒鱔魚(78)
166,阿霞招牌甜湯(78)
167,烏金招牌拼盤(128)
168,烏金招牌拼盤(208)
169,鮮蝦雙拼(128)
170,花膠手剝蝦羹(128)
171,招牌紅蟳米糕(128/208)
172,鮑魚四寶豬肚(128)
173,筍乾老滷腿庫(128/208)
174,爆焱生炒鱔魚(128)
175,阿霞招牌甜湯(128/208)
176,花菇紅燒鮑魚(208)
